model,n_seeds_used,dice_mean,dice_std,hd95_median_mean,hd95_median_std,fnr_mean,fnr_std,fpr_mean,fpr_std
2d_dice,0,,,,,,,,
2d_bce_dice,3,0.7976646601904488,0.0014501475457513225,4.879819552103679,0.8225295169203228,0.05462570531370562,0.03170984042957259,0.1651972048858288,0.16020667053431417
2d_bce_dice_posweighted,0,,,,,,,,
2d_bce_dice_boundary_0.05,3,0.8185366692249251,0.0035236897854573107,4.190099239349365,0.6207620790642313,0.0171884781690049,0.004222168919168553,0.3973489230958976,0.04805878319164428
2d_bce_dice_boundary_0.1,0,,,,,,,,
2d_bce_dice_boundary_0.2,0,,,,,,,,
2d_bce_dice_posweighted_boundary_0.05,0,,,,,,,,
2d_bce_dice_posweighted_boundary_0.1,0,,,,,,,,
2d_bce_dice_posweighted_boundary_0.2,0,,,,,,,,
25d_dice,0,,,,,,,,
25d_bce_dice,3,0.8063624690280001,0.0011320440534852126,3.65023406346639,0.5117628701744231,0.07592156581791212,0.005810550242056814,0.04075049753219601,0.020136753853170743
25d_bce_dice_posweighted,0,,,,,,,,
25d_bce_dice_boundary_0.05,3,0.830747705204116,0.0025983633374437884,3.693108558654785,0.39359153342487424,0.017798344843849453,0.008857013384788165,0.3218129795779185,0.13637268536968186
25d_bce_dice_boundary_0.1,0,,,,,,,,
25d_bce_dice_boundary_0.2,0,,,,,,,,
25d_bce_dice_posweighted_boundary_0.05,0,,,,,,,,
25d_bce_dice_posweighted_boundary_0.1,0,,,,,,,,
25d_bce_dice_posweighted_boundary_0.2,0,,,,,,,,
