seed,group_name,comparison,metric,count,mean,std
0,size_bottom20pct,25d_boundary_vs_2d_boundary,dice,1171,0.02978163761437536,0.17697771422149447
0,size_bottom20pct,25d_boundary_vs_2d_boundary,hd95,1171,1.4857353559840876,23.936117213944666
0,size_bottom20pct,25d_boundary_vs_nonboundary,dice,834,-0.011274494626836497,0.12592428624054047
0,size_bottom20pct,25d_boundary_vs_nonboundary,hd95,834,7.139995041212546,23.396641743406942
0,size_bottom20pct,25d_vs_2d_bce_dice,dice,811,0.05922701229919131,0.18012863929827477
0,size_bottom20pct,25d_vs_2d_bce_dice,hd95,811,-12.628656686198763,27.113207302623085
0,size_bottom20pct,2d_boundary_vs_nonboundary,dice,1120,0.0233958517966,0.15440559110465316
0,size_bottom20pct,2d_boundary_vs_nonboundary,hd95,1120,-4.667198109126943,26.408744547377847
1,size_bottom20pct,25d_boundary_vs_2d_boundary,dice,1068,0.03343136768882658,0.18200303178171567
1,size_bottom20pct,25d_boundary_vs_2d_boundary,hd95,1068,-4.175666619224791,22.242575195161944
1,size_bottom20pct,25d_boundary_vs_nonboundary,dice,808,0.010777818676059987,0.134116210218365
1,size_bottom20pct,25d_boundary_vs_nonboundary,hd95,808,1.1116290115111234,14.278626284755829
1,size_bottom20pct,25d_vs_2d_bce_dice,dice,705,0.029774198797680923,0.14239727417840325
1,size_bottom20pct,25d_vs_2d_bce_dice,hd95,705,-3.22799667218844,16.07097350407624
1,size_bottom20pct,2d_boundary_vs_nonboundary,dice,776,0.0014908677859871119,0.16354770953780728
1,size_bottom20pct,2d_boundary_vs_nonboundary,hd95,776,1.6865245036152243,21.274071056941235
2,size_bottom20pct,25d_boundary_vs_2d_boundary,dice,1182,0.04800302705338994,0.19565335822399943
2,size_bottom20pct,25d_boundary_vs_2d_boundary,hd95,1182,-5.891390033682742,26.66835350319786
2,size_bottom20pct,25d_boundary_vs_nonboundary,dice,885,-0.005791717934459116,0.15284549210960777
2,size_bottom20pct,25d_boundary_vs_nonboundary,hd95,885,3.5631208241865044,19.515204554081496
2,size_bottom20pct,25d_vs_2d_bce_dice,dice,832,0.047845429975348644,0.17246542248581298
2,size_bottom20pct,25d_vs_2d_bce_dice,hd95,832,-9.180893302889453,23.910461685527725
2,size_bottom20pct,2d_boundary_vs_nonboundary,dice,965,0.012190059331478688,0.14725798071000448
2,size_bottom20pct,2d_boundary_vs_nonboundary,hd95,965,-0.8048531017751943,25.96166507471856
